German,English
ich,I
sie,she / they
das,that / the
ist,is
du,you
nicht,not
die,the
es,it
und,and
der,the
wir,we
was,what
zu,to
er,he
ein,a / one
in,in
ja,yes
mir,me
mit,with
wie,how
den,the
mich,me
auf,on / at
dass,that
aber,but
eine,a / one
so,so
hat,has
hier,here
haben,have
für,for
sind,are
war,was
von,from / of
wenn,if / when
dich,you
ihr,her / you all
nein,no
habe,have
an,at / to
bin,am
noch,still / yet
nur,only
da,there
dir,you
sich,oneself / himself / herself
einen,a / one (masculine)
uns,us
hast,have
dem,the (dative)
kann,can
gut,good
auch,also
schon,already
als,as / than
sein,his / to be
mal,time / times
jetzt,now
ihn,him
dann,then
aus,from / out of
meine,my
um,around / in order to
im,in the
wird,will
mein,my
bist,are
doch,though
alles,everything
weiß,know
keine,none / no
oder,or
nach,after
s,s
nichts,nothing
man,one / you / man
muss,must
werden,will become
will,want
ihnen,to them
geht,goes
wo,where
etwas,something
oh,oh
mehr,more
bei,at
also,so
bitte,please
immer,always
hab,have
warum,why
vor,before
los,off
können,can
wieder,again
sagen,say
machen,make
danke,thank you
sehr,very
alle,all
denn,for
mann,man
tun,do
ihm,him
zum,to
gehen,go
sehen,see
vielleicht,perhaps
einem,one (masculine)
wer,who
ihre,their
diese,this
euch,you all
einer,one (feminine)
komm,come
über,over
gibt,gives
okay,okay
wissen,know
deine,your
müssen,must
soll,should
werde,will
nie,never
wirklich,really
hey,hey
kein,none / no
viel,a lot
weg,away
würde,would
tut,does
am,at
des,of the
einfach,simply
leben,life
hatte,had
zeit,time
weil,because
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,so that
ganz,very
wäre,would
wollte,wanted
weißt,know
ok,ok
sicher,sure
gesagt,said
frau,woman
nun,now
bis,until
wurde,became
leid,sorry
na,well
kannst,can
macht,do
dieser,this
zurück,back
lassen,let
hallo,hello
meinen,mine
gott,god
seine,his
hätte,would have
zwei,two
könnte,could
genau,exactly
waren,were
zur,to the
lass,let
klar,clear
morgen,tomorrow
leute,people
vater,father
schön,nice / beautiful
glaube,believe
mr.,Mr.
ab,from
gerade,just
tag,day
gesehen,seen
reden,speak
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,whether
keinen,none
mutter,mother
raus,out
gemacht,made
paar,pair / couple
mach,make
